"user_id","u_average_stars","u_votes_funny","u_votes_useful","u_votes_cool","u_review_count"
"__klNeffo7Qjcbwoj65Guw",2,0,1,0,1
"_4c3Aqs5vtGH5e4fGSYWpw",5,0,0,0,1
"_4jCSPg-swQsi8Cx_gO2OA",3.80952380952381,10,17,12,21
"_75QFdgFVhM_gRdQljn6UQ",5,0,1,0,1
"_78xbAvRCtpPlsL9qHGc6Q",3,0,0,0,1
"_8jXfVy20FGWHrJqtT4gdQ",5,2,1,1,2
"_bEVodhxux43TQ96n24VCQ",2,0,2,0,3
"_bPvjH49rPXO3xT88cYn4w",4,0,0,0,1
"_F3Wl3UEkyCdZYBuIEiNWQ",4.22222222222222,0,1,1,9
"_G7BBK0ZAZDYd8K3imm-iA",4,0,0,1,1
"_gyEXoJ-vGesDaG1AFTDAg",2.5,2,7,1,2
"_h8xgDlbQyHkB_6gx3ExWA",1,0,0,0,1
"_I0T-zPvvjHu_YWJnyaEqQ",4.33333333333333,1,4,1,3
"_j__WoLmVsfPkeuwZ0UkmQ",4,1,2,2,4
"_KclwnZuxJedfE0J7uX0VA",4,1,1,1,1
"_kJ8FSMfjl-dYzsRmtJ2oA",5,0,0,0,1
"_Kvu5KLoASeTeCxwbZb_-Q",5,0,2,0,2
"_mJCXFvtOHd0bYaURWdDqg",5,0,0,0,1
"_nmNCtMolXj_i2cCIY9ZSg",2.5,0,1,0,2
"_nnCf6aFD-KK3ErCnMFl_A",1,1,1,0,2
"_NvRvA8CB-Asaro1PQLEzw",4.75,0,2,1,4
"_o7sGqZBMvxf37VHxuclVg",4,0,0,0,1
"_OnZ6Yxo6SauHbUjZBEMYg",5,1,1,1,1
"_PI948oLmcKULPLRdlyuEg",1,0,1,0,2
"_PrMbW8gLcU8R3aUzJ9Skg",5,0,0,0,1
"_QgVVjL1TloY5JTqfhCRMQ",4,21,27,22,4
"_qR3ChZe37I70xp2b78Ojw",4,2,4,3,2
"_QS138Qw5fZh57QD8J3-9A",4,0,0,0,2
"_qT3bYTRwfaoJ9fForuFpg",4.28571428571429,4,9,3,14
"_r0qN1Y7PIg6l8RnTqZBEw",3.66666666666667,1,4,2,6
"_sewl5zzx9PMjhX8NjBngA",3.66666666666667,0,4,0,3
"_SNWq21H2vn0za-339G4jQ",4,1,0,0,1
"_Ssbz8viI2ZgHgvBWy1wTw",3.25,7,14,5,4
"_T9GcY3clFkz90Qso4ZuDg",4.5,0,5,1,2
"_UeQGHJJ6usLBdHd5TBuMQ",3,0,0,0,1
"_y4Pa5ZFpz4ycpqevBr-gw",3.75,1,4,0,4
"_yplQuwYGy2BT7Jb0GkfUQ",4.5,0,5,0,4
"_yqP4toRN5YqV_22re2ixw",3,0,0,0,1
"_zOvg6VVGA8_PAg-013BSA",3.25,3,14,5,28
"-0b8gEy62r6bHDaaCHWyVA",5,0,0,0,1
"-4gBNDCEv6qTm55abgHxCQ",5,0,0,0,1
"-7LfdqX286W8zJ01ljY_SQ",4,9,17,9,40
"-80hvfhwF2PdPWitXOGLng",3,0,0,0,1
"-896HwNelQJLFZUqW81Hsw",5,0,0,0,2
"-AOinMZ5MAIVqqfWO5UPTg",1.88888888888889,4,9,3,9
"-F8z6JmU5-601IC0QFtJLA",5,2,4,1,1
"-FiCSCiO6FJf38UG-4SsDg",3,0,0,0,1
"-fVuUmA8BbcgU7j3gqlvAQ",4,0,1,0,1
"-go3WeXZo98OkgqdSwCExw",4,0,0,0,1
"-gtB4YZ1lUES-OeJ9QrufA",3.8,1,1,0,5
"-h_6B4Z0m_1-NXngMoxP0w",4.5,0,2,1,2
"-hG9sBYkGRMjWPS08GzChQ",2.25,0,13,10,4
